persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
6,3,0,14,3,2,0,1,0,0,7,0,0,1,3,10,0,3,1
16,19,0,19,20,0,1,4,0,0,15,0,0,0,4,6,0,7,1
1,0,0,4,10,0,0,2,0,0,15,0,0,0,2,5,0,2,1
13,11,1,51,20,0,5,6,4,0,13,0,0,4,1,17,1,9,1
3,2,0,5,5,0,0,1,0,0,17,1,1,0,1,6,0,1,1
1,0,0,7,2,0,0,0,0,0,7,0,0,0,0,10,0,1,0
5,0,0,12,11,0,0,0,0,0,15,0,0,0,1,8,0,1,0
10,5,0,28,28,2,0,0,0,0,53,0,0,0,2,51,0,4,0
2,0,0,9,3,0,0,1,0,0,6,0,0,0,1,7,0,3,0
4,1,0,5,3,1,0,0,0,2,14,0,0,0,6,13,0,0,0
6,0,0,17,0,1,0,1,0,0,13,0,8,3,4,21,3,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,5,0,0,0,0,0,7,0,0,0,1,6,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
